topic_id,top_words
0,"chinese, treaty, power, law, citizens, alien, state, gentleman, one, right, man, constitution, citizen, property, question, court, country, made, citizenship, naturalized"
1,"date, purposes, follows, attorney, ask, nationality, residence, amended, considered, following, lawfully, amend, third, fee, representatives, approved, read, relief, motion, title"
2,"border, security, patrol, agents, borders, immigration, reform, secure, illegal, enforcement, homeland, wall, along, president, congress, bipartisan, nt, comprehensive, southern, republican"
3,"refugees, refugee, soviet, asylum, world, cuban, union, persecution, israel, haiti, international, resettlement, emigration, humanitarian, policy, cuba, president, jews, human, camps"
4,"americans, community, honor, new, university, irish, italian, contributions, life, hispanic, heritage, american, st, th, asian, proud, city, today, nation, century"
5,"program, federal, children, million, education, programs, illegal, health, also, local, state, services, percent, aliens, funds, provide, legislation, assistance, costs, bilingual"
6,"people, nt, us, going, come, country, want, get, america, go, dreamers, know, think, young, dream, daca, children, say, back, one"
7,"treat, overseas, element, mothers, compared, lose, method, choose, unfair, false, anywhere, debt, massive, base, larger, save, fail, ideas, reserve, independent"
8,"labor, workers, farm, mexican, wage, wages, agricultural, agriculture, work, farmers, domestic, worker, program, employment, bracero, employers, crops, migratory, paid, conditions"
9,"immigration, country, quota, immigrants, number, per, quotas, cent, year, would, years, countries, laws, census, europe, population, origins, come, system, persons"
