,animal,cargo,disease,flood_tide,machine,vermin,invasion,threat
0: Chinese-era legal,0.10007186267128403,0.4388467878422642,-0.006344071330742765,-0.7141760776113574,0.1716991237823161,0.17463481070971165,0.5250408448552467,0.11856475225276121
1: procedural (junk),-0.38986441397412025,0.5946844973988444,0.7197580513935565,-0.09956246764217198,-0.3206494169182448,-0.4933011343348037,0.021246289178431018,-0.2612977003591875
2: border / enforcement,0.4661120146913459,0.8553786420802805,-0.10682860213159598,0.45297471800382666,-0.10361618579573215,0.2582134248108148,-0.21355518360433773,0.46135693671401684
3: refugees / asylum,-0.05963699538601544,-0.6319124369155018,0.011696474549642412,0.5982985666504284,-0.4647162918176727,0.009414151601381676,0.19170305442699395,0.2620916165851162
4: heritage / contributions,-0.7728385901194115,-2.0508491933371595,-1.210012329972362,-0.3876307445583734,-0.7714805607580781,-0.7650147011410323,-0.2968624541494347,-1.2436433262987199
5: welfare / services,-0.1448962748944142,-0.39975070313335326,0.00723591132574571,-0.40914487395428123,-0.30426621756625677,-0.34945921544413366,-1.0848849672573357,-0.015570541321400979
6: DACA / Dreamers,0.23312696800530508,-0.6581262685644876,-0.1068631537807857,-0.459230437479911,0.2587176111727392,0.21115772523014625,-0.06260588917161197,0.3621421086530689
7: incoherent (junk),0.6519069819387778,0.5748317008964832,0.39363728053866354,0.1848682316223675,0.6754361058936409,0.7686276903129423,0.3522741786830893,0.2062559121853656
8: labor / agriculture,0.3411219925923418,0.3893329291118292,-0.06557510476616614,-0.22116366650774122,1.0028797660224862,0.1678364179710354,-0.05621696926162264,-0.568000807665546
9: quotas / national origins,0.08840769109302912,0.5185057166567849,0.31600866362118574,0.06758308586191043,0.08837749543745843,0.21384800642291724,-0.1279550090594606,0.10508277287515796
