,animal,cargo,disease,flood_tide,machine,vermin,invasion,threat
0: Chinese-era legal,0.0008701428988519952,0.0011063537394045528,0.0003337331100719985,8.494060972861884e-05,0.0002318075808402312,7.565591716366161e-05,0.006898105159782213,0.0003229580776548762
1: procedural (junk),0.000533106476412236,0.001292925394208054,0.0006898289899207295,0.00015705026582217078,0.0001416783136893663,3.879377118220618e-05,0.0041680662681531176,0.0002208889463937674
2: border / enforcement,0.0012547574953369169,0.001677998213228269,0.00030182792517289804,0.00027289936665817144,0.00017601906686917277,8.225089491121549e-05,0.0032958059329492614,0.0004550078673209883
3: refugees / asylum,0.0007417027759776617,0.00037920074732298133,0.0003398084742433693,0.0003155846518295257,0.00012266931208291328,6.4134022370077e-05,0.004942686300260002,0.0003728027237582787
4: heritage / contributions,0.0003634882585393819,9.175564183963604e-05,0.0001001504280586436,0.00011774221776410524,9.026302817411252e-05,2.9563666443803102e-05,0.0030323668711379546,8.270784320005416e-05
5: welfare / services,0.0006810864963611512,0.0004782948940837043,0.0003382961125555668,0.0001152361510183331,0.00014401857590858345,4.479522816370913e-05,0.001378948078678425,0.0002824177139880163
6: DACA / Dreamers,0.000993975496746269,0.00036938959846422297,0.00030181749670043877,0.00010960663883430617,0.00025288279546280533,7.847017135198622e-05,0.0038328169357849115,0.0004120315323811742
7: incoherent (junk),0.001510948033368299,0.0012675103242886382,0.0004978620122354572,0.00020872062169252013,0.00038361698442283105,0.0001370284461393106,0.0058036097413886965,0.0003525574841111276
8: labor / agriculture,0.0011073306517926324,0.001052907968397747,0.0003145397842971019,0.0001390682359638119,0.0005322366808772199,7.51433229017952e-05,0.0038573828876114096,0.00016254533724421326
9: quotas / national origins,0.0008600523660272073,0.001198089994584405,0.0004606757059687371,0.0001856218376277828,0.00021327576631662297,7.868156240404689e-05,0.0035903543606008374,0.00031863318307726973
